METADATA
initial_wait_s: 15
measures: 1
period_ms: 1000
depth: 0.5
name: kdupro01
buoy: 1
country: colombia
place: akuara
maker: udea
curator: icm-csic
email: rodero@icm.csic.es
sensors: tcs34725
description: calibration
units: counts,
latitude: 41.383189
longitude: 2.197949
altitude: 0
ref_coord_system: wgs84
location_source: gnss
time_source: internet
processing_level: 0
processing_procedure: https://git.csic.es/kduino/kdupro
processing_version: build
processing_revision: 0
calibration_procedure: https://git.csic.es/kduino/kdupro
calibration_reference: 0
calibration_time: 0
calibration_version: 0
sensor_id: 
platform_id: 
deployment_id: 
sample_id: 
observer_id: 
owner_contact: jpiera@icm.csic.es
operator_contact: rodero@icm.csic.es
license: mit
license_reference: https://opensource.org/licenses/mit
embargo_date: 
datetime: yyyy-mm-ddthh:mm:ssz
time: 2025-05-21T09:37:06:096Z
DATA
TIME F1-415nm F2-445nm F3-480nm F4-515nm F5-555nm F6-590nm F7-630nm F8-680nm Clear Near-IR
2025-05-21T10:06:29:358Z 11850 17890 23576 28219 31139 32806 38404 45242 65535 56756
2025-05-21T10:06:30:390Z 11858 17908 23586 28252 31177 32835 38467 45289 65535 56858
2025-05-21T10:06:31:424Z 11865 17911 23587 28264 31172 32837 38453 45282 65535 56868
2025-05-21T10:06:32:456Z 11862 17911 23597 28257 31168 32841 38448 45288 65535 56894
2025-05-21T10:06:33:488Z 11859 17909 23585 28259 31151 32819 38437 45264 65535 56870
2025-05-21T10:06:34:520Z 11862 17916 23592 28263 31163 32833 38456 45276 65535 56898
2025-05-21T10:06:35:552Z 11861 17912 23584 28249 31159 32836 38443 45277 65535 56897
2025-05-21T10:06:36:585Z 11860 17911 23588 28262 31153 32823 38447 45278 65535 56913
2025-05-21T10:06:38:619Z 11857 17918 23577 28267 31148 32834 38454 45257 65535 56901
2025-05-21T10:06:39:652Z 11855 17913 23582 28269 31154 32811 38446 45263 65535 56930
2025-05-21T10:06:40:684Z 11859 17916 23578 28261 31129 32820 38441 45239 65535 56928
2025-05-21T10:06:41:716Z 11854 17906 23574 28258 31128 32806 38424 45225 65535 56908
2025-05-21T10:06:42:748Z 11858 17909 23576 28261 31147 32829 38453 45257 65535 56976
2025-05-21T10:06:43:781Z 11859 17921 23583 28275 31136 32813 38451 45252 65535 56973
2025-05-21T10:06:44:815Z 11855 17912 23573 28269 31139 32809 38440 45246 65535 56985
2025-05-21T10:06:45:847Z 11858 17919 23577 28271 31118 32815 38433 45235 65535 56981
2025-05-21T10:06:46:879Z 11857 17913 23574 28269 31123 32801 38433 45228 65535 56990
2025-05-21T10:06:47:912Z 11847 17907 23564 28258 31101 32788 38411 45207 65535 56967
2025-05-21T10:06:48:943Z 11849 17907 23563 28258 31107 32792 38406 45212 65535 57002
2025-05-21T10:06:49:975Z 11853 17909 23563 28262 31103 32788 38411 45194 65535 57011
2025-05-21T10:06:50:010Z 11850 17906 23562 28264 31105 32799 38427 45207 65535 57041
2025-05-21T10:06:51:044Z 11852 17908 23565 28261 31096 32782 38411 45196 65535 57039
2025-05-21T10:06:52:077Z 11853 17912 23554 28262 31088 32777 38408 45188 65535 57048
2025-05-21T10:06:53:109Z 11852 17910 23556 28259 31101 32777 38415 45178 65535 57082
2025-05-21T10:06:54:141Z 11851 17913 23558 28272 31087 32771 38408 45179 65535 57071
2025-05-21T10:06:55:174Z 11850 17907 23554 28268 31090 32773 38404 45166 65535 57084
2025-05-21T10:06:56:207Z 11850 17904 23543 28252 31078 32760 38401 45161 65535 57088
2025-05-21T10:06:57:240Z 11847 17900 23538 28253 31071 32762 38404 45151 65535 57102
2025-05-21T10:06:58:272Z 11844 17900 23543 28261 31073 32747 38395 45152 65535 57104
2025-05-21T10:06:59:305Z 11846 17901 23540 28253 31054 32738 38388 45130 65535 57099
2025-05-21T10:07:00:337Z 11844 17898 23533 28239 31062 32734 38384 45098 65535 57100
2025-05-21T10:07:01:369Z 11842 17896 23524 28248 31056 32728 38388 45116 65535 57110
2025-05-21T10:07:02:403Z 11839 17892 23524 28242 31056 32733 38383 45105 65535 57129
2025-05-21T10:07:03:436Z 11842 17886 23522 28242 31037 32712 38371 45086 65535 57116
2025-05-21T10:07:04:468Z 11838 17881 23519 28238 31027 32700 38366 45066 65535 57128
2025-05-21T10:07:05:500Z 11836 17884 23513 28225 31029 32694 38358 45065 65535 57143
2025-05-21T10:07:06:533Z 11833 17880 23507 28226 31022 32680 38358 45046 65535 57161
2025-05-21T10:07:07:565Z 11829 17877 23499 28221 31008 32657 38335 45021 65535 57143
2025-05-21T10:07:09:600Z 11829 17870 23495 28209 30999 32665 38345 45013 65535 57149
2025-05-21T10:07:10:632Z 11827 17868 23493 28202 30993 32648 38339 45003 65535 57174
2025-05-21T10:07:11:665Z 11823 17862 23490 28206 30989 32650 38328 44992 65535 57139
2025-05-21T10:07:12:698Z 11825 17863 23476 28189 30979 32638 38326 44972 65535 57154
2025-05-21T10:07:13:730Z 11822 17859 23474 28195 30976 32626 38318 44956 65535 57175
2025-05-21T10:07:14:762Z 11817 17850 23469 28187 30959 32619 38297 44940 65535 57167
2025-05-21T10:07:15:796Z 11814 17848 23466 28172 30956 32607 38296 44914 65535 57171
2025-05-21T10:07:16:829Z 11813 17842 23460 28171 30943 32581 38274 44911 65535 57133
2025-05-21T10:07:17:861Z 11811 17838 23459 28166 30944 32599 38284 44909 65535 57197
2025-05-21T10:07:18:893Z 11811 17836 23447 28158 30930 32569 38263 44878 65535 57169
2025-05-21T10:07:19:925Z 11802 17823 23427 28137 30916 32559 38249 44846 65535 57165
2025-05-21T10:07:20:958Z 11798 17822 23426 28123 30900 32498 38173 44851 65535 57168
2025-05-21T10:07:21:992Z 11781 17805 23436 27951 30721 32218 37871 44691 65535 57138
2025-05-21T10:07:22:026Z 11668 17668 23325 27745 30570 32023 37680 44370 65535 57045
2025-05-21T10:07:23:058Z 11604 17598 23214 27646 30648 32083 37789 44444 65535 57135
2025-05-21T10:07:24:090Z 11667 17711 23347 27821 30783 32208 37980 44639 65535 57332
2025-05-21T10:07:25:123Z 11686 17746 23371 27857 30786 32199 37959 44650 65535 57286
2025-05-21T10:07:26:155Z 11678 17733 23369 27824 30768 32173 37953 44616 65535 57303
2025-05-21T10:07:27:190Z 11682 17723 23368 27820 30756 32158 37924 44599 65535 57354
2025-05-21T10:07:28:222Z 11666 17713 23349 27799 30727 32123 37895 44550 65535 57378
2025-05-21T10:07:29:254Z 11657 17700 23337 27772 30693 32091 37852 44507 65535 57326
2025-05-21T10:07:30:286Z 11642 17669 23301 27727 30651 32060 37804 44462 65535 57229
2025-05-21T10:07:31:317Z 11638 17666 23296 27715 30642 32059 37794 44428 65535 57232
2025-05-21T10:07:32:350Z 11646 17674 23301 27732 30672 32081 37852 44469 65535 57271
2025-05-21T10:07:33:384Z 11655 17680 23314 27755 30696 32118 37893 44495 65535 57285
2025-05-21T10:07:34:416Z 11698 17697 23351 27821 30684 32194 37917 44548 65535 57413
2025-05-21T10:07:35:449Z 11728 17709 23354 27841 30743 32242 38008 44618 65535 57554
2025-05-21T10:07:36:482Z 11733 17735 23387 27887 30740 32227 38024 44578 65535 57583
2025-05-21T10:07:37:515Z 11726 17718 23363 27870 30728 32220 38008 44569 65535 57565
2025-05-21T10:07:38:548Z 11726 17716 23366 27872 30725 32217 38011 44554 65535 57596
2025-05-21T10:07:39:582Z 11727 17709 23361 27865 30706 32208 37995 44543 65535 57565
2025-05-21T10:07:41:615Z 11720 17702 23353 27837 30697 32177 37980 44512 65535 57590
2025-05-21T10:07:42:647Z 11721 17703 23350 27843 30685 32181 37978 44486 65535 57590
2025-05-21T10:07:43:679Z 11711 17690 23337 27829 30678 32165 37964 44455 65535 57594
2025-05-21T10:07:44:711Z 11706 17688 23329 27825 30667 32145 37952 44442 65535 57570
2025-05-21T10:07:45:742Z 11701 17678 23314 27812 30657 32134 37945 44434 65535 57571
2025-05-21T10:07:46:776Z 11701 17671 23313 27794 30638 32118 37932 44407 65535 57553
2025-05-21T10:07:47:808Z 11699 17672 23310 27798 30643 32128 37927 44410 65535 57609
2025-05-21T10:07:48:840Z 11697 17663 23295 27790 30637 32111 37930 44389 65535 57682
2025-05-21T10:07:49:872Z 11693 17660 23304 27778 30633 32099 37914 44362 65535 57723
2025-05-21T10:07:50:905Z 11696 17657 23305 27786 30631 32094 37925 44363 65535 57722
2025-05-21T10:07:51:939Z 11692 17650 23288 27766 30610 32075 37921 44336 65535 57707
2025-05-21T10:07:52:971Z 11687 17638 23281 27765 30616 32074 37916 44319 65535 57750
2025-05-21T10:07:53:005Z 11685 17640 23274 27762 30594 32052 37885 44293 65535 57737
2025-05-21T10:07:54:037Z 11674 17626 23257 27742 30585 32052 37875 44293 65535 57703
2025-05-21T10:07:55:068Z 11722 17670 23254 27870 30671 32233 38097 44315 65535 57749
2025-05-21T10:07:56:100Z 11730 17678 23263 27934 30679 32238 38119 44316 65535 57818
2025-05-21T10:07:57:134Z 11727 17680 23266 27927 30675 32231 38108 44303 65535 57837
2025-05-21T10:07:58:167Z 11727 17672 23260 27933 30672 32227 38093 44282 65535 57845
2025-05-21T10:07:59:199Z 11726 17664 23257 27914 30663 32210 38094 44254 65535 57871
2025-05-21T10:08:00:231Z 11717 17659 23245 27907 30641 32202 38091 44250 65535 57864
2025-05-21T10:08:01:263Z 11714 17647 23234 27900 30620 32179 38072 44214 65535 57843
2025-05-21T10:08:02:295Z 11707 17638 23221 27885 30623 32175 38067 44196 65535 57820
2025-05-21T10:08:03:329Z 11706 17633 23219 27882 30600 32149 38046 44169 65535 57820
2025-05-21T10:08:04:359Z 11695 17626 23208 27865 30595 32145 38040 44141 65535 57818
2025-05-21T10:08:05:391Z 11696 17621 23201 27856 30566 32105 38015 44118 65535 57766
2025-05-21T10:08:06:423Z 11686 17604 23183 27839 30555 32107 37987 44101 65535 57739
2025-05-21T10:08:07:455Z 11682 17599 23173 27834 30534 32084 37968 44076 65535 57711
2025-05-21T10:08:08:489Z 11672 17591 23162 27810 30510 32072 37933 44043 65535 57634
2025-05-21T10:08:09:523Z 11665 17569 23143 27794 30486 32048 37915 44000 65535 57584
2025-05-21T10:08:10:555Z 11643 17553 23114 27760 30459 32017 37889 43958 65535 57474
2025-05-21T10:08:11:587Z 11649 17549 23107 27760 30439 32004 37858 43926 65535 57466
2025-05-21T10:08:13:620Z 11643 17541 23097 27735 30425 31986 37851 43926 65535 57499
2025-05-21T10:08:14:653Z 11639 17533 23089 27732 30416 31974 37849 43872 65535 57476
2025-05-21T10:08:15:685Z 11635 17524 23080 27715 30399 31953 37828 43873 65535 57478
2025-05-21T10:08:16:719Z 11623 17515 23066 27703 30384 31946 37814 43841 65535 57451
2025-05-21T10:08:17:752Z 11620 17500 23056 27687 30366 31929 37787 43813 65535 57445
2025-05-21T10:08:18:784Z 11613 17496 23046 27675 30352 31914 37776 43792 65535 57426
2025-05-21T10:08:19:816Z 11612 17490 23038 27665 30337 31905 37770 43771 65535 57426
2025-05-21T10:08:20:848Z 11601 17486 23027 27658 30317 31890 37758 43758 65535 57400
2025-05-21T10:08:21:880Z 11601 17473 23006 27646 30310 31867 37748 43730 65535 57405
2025-05-21T10:08:22:915Z 11599 17471 23010 27631 30297 31859 37733 43704 65535 57392
2025-05-21T10:08:23:947Z 11597 17463 22995 27626 30284 31854 37720 43689 65535 57404
2025-05-21T10:08:24:981Z 11595 17455 23000 27626 30276 31835 37726 43682 65535 57489
2025-05-21T10:08:25:013Z 11587 17447 22985 27606 30255 31829 37702 43661 65535 57444
2025-05-21T10:08:26:045Z 11583 17444 22976 27596 30250 31811 37692 43633 65535 57436
2025-05-21T10:08:27:078Z 11579 17437 22966 27590 30233 31796 37677 43616 65535 57424
2025-05-21T10:08:28:112Z 11571 17428 22950 27571 30216 31782 37661 43596 65535 57376
2025-05-21T10:08:29:144Z 11568 17419 22941 27554 30202 31768 37648 43576 65535 57408
2025-05-21T10:08:30:176Z 11559 17408 22936 27549 30188 31748 37631 43551 65535 57392
2025-05-21T10:08:31:208Z 11559 17399 22925 27542 30172 31747 37605 43511 65535 57390
2025-05-21T10:08:32:240Z 11554 17392 22909 27527 30154 31724 37601 43485 65535 57359
2025-05-21T10:08:33:272Z 11549 17388 22898 27514 30141 31698 37587 43483 65535 57358
2025-05-21T10:08:34:306Z 11544 17375 22895 27502 30125 31697 37564 43453 65535 57354
2025-05-21T10:08:35:338Z 11537 17367 22886 27498 30107 31690 37554 43427 65535 57319
2025-05-21T10:08:36:370Z 11536 17356 22871 27474 30075 31662 37528 43401 65535 57315
2025-05-21T10:08:37:402Z 11527 17355 22858 27468 30070 31658 37516 43382 65535 57314
2025-05-21T10:08:38:434Z 11518 17343 22850 27457 30063 31636 37498 43366 65535 57284
2025-05-21T10:08:39:467Z 11519 17337 22842 27438 30040 31625 37486 43328 65535 57275
2025-05-21T10:08:40:501Z 11513 17328 22830 27431 30024 31620 37481 43310 65535 57255
2025-05-21T10:08:41:534Z 11509 17317 22821 27421 30018 31600 37462 43307 65535 57263
2025-05-21T10:08:42:567Z 11500 17308 22809 27408 29996 31587 37452 43268 65535 57195
2025-05-21T10:08:44:599Z 11498 17300 22794 27399 29988 31563 37432 43239 65535 57220
2025-05-21T10:08:45:631Z 11495 17290 22782 27385 29963 31560 37405 43234 65535 57201
2025-05-21T10:08:46:663Z 11486 17277 22775 27376 29948 31534 37385 43205 65535 57151
2025-05-21T10:08:47:697Z 11480 17275 22758 27358 29940 31532 37385 43178 65535 57152
2025-05-21T10:08:48:729Z 11475 17266 22752 27346 29918 31512 37361 43147 65535 57141
2025-05-21T10:08:49:761Z 11472 17260 22745 27338 29905 31498 37346 43146 65535 57128
2025-05-21T10:08:50:793Z 11468 17251 22733 27331 29892 31482 37330 43101 65535 57111
2025-05-21T10:08:51:825Z 11458 17239 22722 27314 29871 31475 37323 43083 65535 57097
2025-05-21T10:08:52:858Z 11455 17229 22706 27301 29854 31458 37305 43067 65535 57077
2025-05-21T10:08:53:892Z 11450 17224 22690 27288 29837 31428 37289 43043 65535 57071
2025-05-21T10:08:54:924Z 11447 17212 22685 27277 29834 31418 37276 43031 65535 57084
2025-05-21T10:08:55:958Z 11445 17214 22688 27277 29830 31424 37288 43030 65535 57191
2025-05-21T10:08:56:988Z 11444 17204 22685 27269 29804 31408 37267 43002 65535 57176
2025-05-21T10:08:57:020Z 11437 17196 22665 27258 29792 31388 37263 42971 65535 57195
2025-05-21T10:08:58:052Z 11430 17188 22660 27235 29778 31386 37226 42955 65535 57131
2025-05-21T10:08:59:086Z 11425 17175 22647 27230 29766 31361 37230 42924 65535 57148
2025-05-21T10:09:00:119Z 11422 17169 22629 27216 29732 31352 37212 42914 65535 57128
2025-05-21T10:09:01:150Z 11419 17162 22626 27203 29731 31332 37194 42887 65535 57083
2025-05-21T10:09:02:182Z 11411 17151 22610 27196 29718 31313 37180 42865 65535 57076
2025-05-21T10:09:03:214Z 11405 17147 22604 27183 29700 31310 37158 42839 65535 57045
2025-05-21T10:09:04:246Z 11398 17137 22583 27173 29688 31292 37133 42831 65535 57061
2025-05-21T10:09:05:281Z 11394 17128 22583 27161 29664 31275 37127 42796 65535 57025
2025-05-21T10:09:06:313Z 11391 17119 22571 27150 29655 31265 37103 42757 65535 57007
2025-05-21T10:09:07:344Z 11386 17110 22553 27143 29638 31251 37092 42749 65535 56978
2025-05-21T10:09:08:376Z 11378 17101 22539 27115 29633 31240 37098 42748 65535 57074
2025-05-21T10:09:09:409Z 11381 17106 22550 27121 29629 31226 37081 42733 65535 57051
2025-05-21T10:09:10:443Z 11377 17093 22541 27112 29607 31208 37039 42702 65535 57040
2025-05-21T10:09:11:477Z 11370 17085 22531 27093 29585 31202 37046 42688 65535 57013
2025-05-21T10:09:12:510Z 11365 17081 22518 27088 29586 31183 37043 42672 65535 57042
2025-05-21T10:09:13:543Z 11364 17074 22510 27080 29565 31171 37018 42642 65535 56987
2025-05-21T10:09:14:575Z 11358 17062 22493 27066 29543 31165 37017 42625 65535 57001
2025-05-21T10:09:16:607Z 11352 17059 22486 27051 29538 31143 36999 42598 65535 57015
2025-05-21T10:09:17:639Z 11351 17054 22482 27050 29513 31139 36960 42561 65535 56962
2025-05-21T10:09:18:672Z 11344 17038 22463 27031 29510 31122 36960 42556 65535 56937
2025-05-21T10:09:19:705Z 11343 17032 22460 27018 29493 31105 36940 42522 65535 56924
2025-05-21T10:09:20:737Z 11336 17025 22451 27013 29490 31095 36931 42526 65535 56937
2025-05-21T10:09:21:769Z 11332 17022 22443 27002 29472 31069 36915 42500 65535 56888
2025-05-21T10:09:22:801Z 11328 17009 22431 26992 29461 31071 36896 42482 65535 56880
2025-05-21T10:09:23:833Z 11324 17006 22422 26979 29445 31057 36884 42460 65535 56855
2025-05-21T10:09:24:867Z 11314 16997 22411 26967 29428 31044 36862 42441 65535 56840
2025-05-21T10:09:25:899Z 11314 16988 22407 26959 29424 31028 36864 42425 65535 56867
2025-05-21T10:09:26:933Z 11307 16980 22392 26945 29397 31010 36837 42398 65535 56767
2025-05-21T10:09:27:965Z 11305 16978 22380 26942 29393 31005 36828 42383 65535 56762
2025-05-21T10:09:28:997Z 11300 16965 22373 26922 29369 30975 36797 42355 65535 56752
2025-05-21T10:09:29:028Z 11291 16956 22356 26906 29357 30966 36793 42334 65535 56726
2025-05-21T10:09:30:062Z 11288 16954 22348 26899 29347 30956 36779 42321 65535 56723
2025-05-21T10:09:31:095Z 11287 16945 22348 26896 29333 30942 36756 42299 65535 56697
2025-05-21T10:09:32:130Z 11277 16938 22334 26874 29324 30921 36737 42268 65535 56659
2025-05-21T10:09:33:285Z 11272 16929 22326 26864 29306 30912 36731 42260 65535 56645
2025-05-21T10:09:34:318Z 11271 16921 22317 26859 29299 30904 36716 42240 65535 56617
2025-05-21T10:09:35:350Z 11267 16917 22302 26844 29288 30888 36703 42221 65535 56581
2025-05-21T10:09:36:382Z 11262 16907 22295 26833 29277 30866 36690 42205 65535 56578
2025-05-21T10:09:37:415Z 11257 16898 22289 26819 29250 30858 36671 42185 65535 56543
2025-05-21T10:09:38:448Z 11249 16895 22275 26810 29254 30852 36655 42163 65535 56503
2025-05-21T10:09:39:480Z 11243 16886 22270 26796 29231 30840 36642 42147 65535 56490
2025-05-21T10:09:40:513Z 11246 16879 22266 26794 29228 30823 36631 42140 65535 56480
2025-05-21T10:09:41:546Z 11238 16871 22255 26777 29212 30808 36624 42104 65535 56458
2025-05-21T10:09:42:580Z 11233 16861 22246 26767 29201 30793 36597 42084 65535 56417
2025-05-21T10:09:44:613Z 11228 16853 22237 26756 29194 30790 36587 42080 65535 56410
2025-05-21T10:09:45:645Z 11223 16851 22224 26746 29183 30770 36571 42061 65535 56379
2025-05-21T10:09:46:679Z 11220 16844 22215 26727 29164 30753 36548 42041 65535 56354
2025-05-21T10:09:47:711Z 11214 16835 22211 26715 29161 30743 36544 42026 65535 56333
2025-05-21T10:09:48:744Z 11211 16830 22205 26704 29137 30725 36521 42002 65535 56279
2025-05-21T10:09:49:792Z 11201 16822 22195 26701 29133 30722 36517 41980 65535 56303
2025-05-21T10:09:50:824Z 11200 16818 22181 26681 29119 30703 36501 41971 65535 56250
2025-05-21T10:09:51:856Z 11197 16810 22181 26681 29115 30690 36485 41954 65535 56224
2025-05-21T10:09:52:888Z 11188 16800 22169 26665 29107 30673 36468 41930 65535 56194
2025-05-21T10:09:53:921Z 11182 16789 22153 26657 29090 30660 36454 41915 65535 56151
2025-05-21T10:09:54:953Z 11185 16781 22154 26648 29088 30650 36457 41921 65535 56202
2025-05-21T10:09:55:987Z 11185 16794 22161 26651 29083 30642 36438 41898 65535 56198
2025-05-21T10:09:56:019Z 11178 16781 22143 26634 29078 30635 36440 41889 65535 56235
2025-05-21T10:09:57:052Z 11172 16775 22140 26623 29078 30626 36431 41869 65535 56218
2025-05-21T10:09:58:084Z 11168 16766 22133 26615 29065 30599 36414 41852 65535 56187
2025-05-21T10:09:59:116Z 11158 16759 22121 26598 29041 30587 36382 41827 65535 56124
2025-05-21T10:10:00:151Z 11159 16757 22115 26595 29031 30584 36378 41818 65535 56127
2025-05-21T10:10:01:183Z 11155 16751 22107 26571 29028 30566 36373 41801 65535 56075
2025-05-21T10:10:02:215Z 11146 16741 22092 26568 29010 30557 36348 41771 65535 56067
2025-05-21T10:10:03:247Z 11143 16737 22086 26557 29013 30545 36342 41767 65535 56044
2025-05-21T10:10:04:280Z 11142 16732 22085 26546 29001 30529 36331 41754 65535 56019
2025-05-21T10:10:05:313Z 11133 16716 22065 26526 28988 30515 36315 41744 65535 55958
2025-05-21T10:10:06:348Z 11134 16720 22069 26528 28976 30500 36300 41707 65535 55940
2025-05-21T10:10:07:380Z 11124 16707 22055 26505 28966 30492 36281 41700 65535 55894
2025-05-21T10:10:08:412Z 11128 16711 22063 26510 28979 30480 36304 41688 65535 56044
2025-05-21T10:10:09:444Z 11118 16692 22053 26497 28969 30477 36291 41686 65535 56000
2025-05-21T10:10:10:476Z 11119 16696 22049 26490 28961 30463 36270 41669 65535 55991
2025-05-21T10:10:11:508Z 11114 16688 22040 26477 28947 30445 36265 41664 65535 55955
2025-05-21T10:10:12:542Z 11114 16683 22039 26472 28942 30433 36240 41630 65535 55945
2025-05-21T10:10:13:575Z 11108 16680 22031 26461 28945 30425 36254 41632 65535 55946
2025-05-21T10:10:15:607Z 11104 16675 22017 26445 28920 30398 36202 41601 65535 55905
2025-05-21T10:10:16:639Z 11086 16649 21998 26402 28895 30359 36136 41573 65535 55815
2025-05-21T10:10:17:671Z 11066 16635 21986 26296 28831 30152 35995 41479 65535 55761
2025-05-21T10:10:18:703Z 10948 16538 21858 26092 28716 29966 35803 41231 65535 55559
2025-05-21T10:10:19:737Z 10950 16547 21852 26109 28769 30032 35884 41326 65535 55576
2025-05-21T10:10:20:770Z 10945 16536 21850 26096 28740 29991 35834 41286 65535 55548
2025-05-21T10:10:21:803Z 10938 16530 21843 26076 28724 29969 35828 41271 65535 55533
2025-05-21T10:10:22:836Z 10923 16508 21817 26049 28693 29929 35769 41208 65535 55449
2025-05-21T10:10:23:868Z 10910 16493 21782 26005 28789 29997 35888 41367 65535 55501
2025-05-21T10:10:24:901Z 11046 16607 21940 26285 28826 30270 36076 41451 65535 55608
2025-05-21T10:10:25:935Z 11057 16605 21943 26324 28848 30294 36097 41474 65535 55650
2025-05-21T10:10:26:968Z 11057 16609 21941 26322 28841 30278 36086 41464 65535 55617
2025-05-21T10:10:27:000Z 11055 16600 21939 26315 28833 30264 36078 41447 65535 55589
2025-05-21T10:10:28:032Z 11047 16595 21930 26300 28803 30247 36051 41421 65535 55561
2025-05-21T10:10:29:065Z 11037 16576 21910 26265 28790 30210 35991 41378 65535 55454
2025-05-21T10:10:30:098Z 11033 16569 21910 26212 28782 30133 35938 41386 65535 55459
2025-05-21T10:10:31:132Z 10986 16545 21885 26140 28738 30041 35861 41305 65535 55384
2025-05-21T10:10:32:163Z 10973 16534 21863 26117 28743 30054 35877 41303 65535 55369
2025-05-21T10:10:33:195Z 10972 16524 21868 26121 28731 30042 35861 41279 65535 55356
2025-05-21T10:10:34:228Z 10964 16520 21854 26097 28713 30015 35828 41255 65535 55325
2025-05-21T10:10:35:260Z 10958 16510 21847 26074 28708 30004 35824 41256 65535 55325
2025-05-21T10:10:36:292Z 10956 16505 21840 26064 28699 29991 35805 41234 65535 55304
