METADATA
initial_wait_s: 30
measures: 1
period_ms: 1000
depth: 0.5
name: kdupro01
buoy: 0
country: usa
place: discobay
maker: udea
curator: icm-csic
email: rodero@icm.csic.es
sensors: as7341
description: calibration
units: counts,
latitude: 41.383189
longitude: 2.197949
altitude: 0
ref_coord_system: wgs84
location_source: gnss
time_source: internet
processing_level: 0
processing_procedure: https://git.csic.es/kduino/kdupro
processing_version: build
processing_revision: 0
calibration_procedure: https://git.csic.es/kduino/kdupro
calibration_reference: 0
calibration_time: 0
calibration_version: 0
sensor_id: 
platform_id: 
deployment_id: 
sample_id: 
observer_id: 
owner_contact: jpiera@icm.csic.es
operator_contact: rodero@icm.csic.es
license: mit
license_reference: https://opensource.org/licenses/mit
embargo_date: 
datetime: yyyy-mm-ddthh:mm:ssz
time: 2025-05-21T09:27:04:038Z
DATA
TIME F1-415nm F2-445nm F3-480nm F4-515nm F5-555nm F6-590nm F7-630nm F8-680nm Clear Near-IR
2025-05-21T10:06:09:691Z 52 57 58 64 88 121 235 475 1441 1153
2025-05-21T10:06:10:718Z 67 74 79 93 95 133 256 503 1554 1254
2025-05-21T10:06:11:746Z 77 84 91 109 101 144 275 546 1654 1329
2025-05-21T10:06:12:774Z 81 87 92 109 95 138 268 550 1627 1299
2025-05-21T10:06:13:803Z 80 85 90 106 97 141 276 562 1671 1320
2025-05-21T10:06:14:831Z 78 82 86 101 218 303 552 981 2443 1834
2025-05-21T10:06:15:861Z 231 290 353 423 404 543 914 1475 5200 4275
2025-05-21T10:06:16:889Z 437 498 602 730 952 1246 1569 2173 9434 10251
2025-05-21T10:06:17:917Z 687 789 997 1230 1240 1602 2216 2954 9138 12214
2025-05-21T10:06:18:943Z 847 954 1203 1513 1649 1959 2643 3489 15069 14506
2025-05-21T10:06:19:971Z 908 1139 1440 1657 1521 1905 2767 3861 13409 14008
2025-05-21T10:06:20:999Z 795 908 1204 1286 1153 1345 1661 2201 15394 14390
2025-05-21T10:06:21:027Z 695 788 971 1073 943 1205 1591 2230 11560 13903
2025-05-21T10:06:22:057Z 828 1038 1290 1522 1363 1733 2215 3192 13017 14615
2025-05-21T10:06:23:085Z 587 718 939 1114 946 1295 2050 3001 11392 10580
2025-05-21T10:06:24:125Z 2746 3586 4961 5597 9487 10446 11573 14469 41848 25750
2025-05-21T10:06:25:195Z 4541 6189 8484 9517 10133 10992 12188 15844 38882 23051
2025-05-21T10:06:26:223Z 3268 4241 5708 6703 5099 6049 6993 8852 26784 19064
2025-05-21T10:06:27:251Z 3936 5723 7658 9230 11367 11882 14893 16010 65535 40894
2025-05-21T10:06:28:279Z 4428 6135 8220 10443 9730 10580 12623 13796 65535 36585
2025-05-21T10:06:29:305Z 6737 9704 13176 15590 14539 14942 17811 20248 65535 43195
2025-05-21T10:06:30:333Z 5404 7743 10475 12085 11791 12511 14372 16686 63719 30614
2025-05-21T10:06:31:361Z 3716 5339 7169 8440 7975 8656 9863 12123 47829 25276
2025-05-21T10:06:32:389Z 3150 4885 6364 7636 10717 11433 13396 15673 56541 26409
2025-05-21T10:06:33:436Z 3616 5328 7097 8476 11704 12557 14424 16994 61409 28263
2025-05-21T10:06:34:464Z 4842 7125 9543 11091 11710 12717 14642 17244 62404 29441
2025-05-21T10:06:36:495Z 3611 5137 6965 8089 8928 9613 11037 13174 53651 27625
2025-05-21T10:06:37:523Z 3639 5188 7020 8154 8671 9358 10640 13034 52765 27086
2025-05-21T10:06:38:551Z 3522 5213 6971 8181 9262 9751 11369 13515 53019 27287
2025-05-21T10:06:39:579Z 3627 5395 7216 8473 9407 9903 11548 13733 53967 27756
2025-05-21T10:06:40:607Z 3627 5386 7208 8452 9206 9648 11333 13411 53285 27444
2025-05-21T10:06:41:635Z 3407 5013 6747 7839 8891 9277 10956 12942 52011 26712
2025-05-21T10:06:42:666Z 3338 5057 6741 7919 11155 11808 13870 16241 60690 28994
2025-05-21T10:06:43:694Z 4422 6492 8788 10278 10806 11693 13531 15952 61078 29097
2025-05-21T10:06:44:722Z 3376 4970 6741 7855 8599 9192 10741 12872 47871 24738
2025-05-21T10:06:45:749Z 3493 5092 6915 8132 8550 9205 10867 12872 46865 23787
2025-05-21T10:06:46:777Z 3369 4931 6714 7833 8994 9606 11312 13371 52592 26771
2025-05-21T10:06:47:805Z 3734 5312 7218 8556 9353 10235 11839 13852 54064 26821
2025-05-21T10:06:48:836Z 3680 5362 7201 8608 9314 10155 11808 13831 52250 26052
2025-05-21T10:06:49:864Z 3624 5281 7087 8514 9175 10016 11666 13684 52920 26066
2025-05-21T10:06:50:862Z 3463 5050 6878 7996 8562 8952 10571 12597 47361 24477
2025-05-21T10:06:51:891Z 3014 4590 6091 7210 8460 8832 10448 12431 45865 23884
2025-05-21T10:06:52:919Z 3251 4893 6568 7664 9031 9517 11267 13423 50356 25858
2025-05-21T10:06:53:946Z 3599 5284 7176 8354 8287 8886 10452 12373 49624 25457
2025-05-21T10:06:54:974Z 3304 4826 6497 7622 8277 8864 10323 12266 47757 24191
2025-05-21T10:06:55:000Z 3243 4753 6330 7454 8071 8629 10093 12011 45378 23694
2025-05-21T10:06:56:028Z 3202 4715 6296 7385 8101 8641 10115 12035 45712 24118
2025-05-21T10:06:57:056Z 3200 4748 6344 7388 8143 8594 10091 11938 45281 23910
2025-05-21T10:06:58:084Z 1985 2903 3858 4552 2687 3013 4643 6017 18295 10988
2025-05-21T10:06:59:112Z 2839 3970 5407 6227 7383 7706 9173 11265 49327 26893
2025-05-21T10:07:00:140Z 3483 5164 6943 8067 8065 8595 9920 11937 44916 23995
2025-05-21T10:07:01:170Z 3047 4491 5999 6973 7781 8266 9584 11496 42816 22732
2025-05-21T10:07:02:198Z 3040 4497 5996 6993 7739 8286 9503 11499 42412 22636
2025-05-21T10:07:03:226Z 3550 5069 6867 8170 8819 9725 11172 13234 49516 25782
2025-05-21T10:07:04:254Z 3594 5166 6980 8330 8930 9897 11397 13459 50062 25866
2025-05-21T10:07:05:282Z 3783 5465 7357 8810 9610 10656 12191 14432 54283 27380
2025-05-21T10:07:06:310Z 3811 5497 7395 8877 9493 10557 12091 14276 53422 27057
2025-05-21T10:07:07:338Z 3749 5411 7279 8740 9301 10340 11856 14007 52019 26413
2025-05-21T10:07:08:369Z 3406 5209 6990 8150 10095 11074 12679 15205 55679 27763
2025-05-21T10:07:09:397Z 3949 5755 7699 9203 8413 9337 10867 12850 41830 20354
2025-05-21T10:07:10:425Z 2987 4456 5958 7173 9714 10587 12134 14645 52180 26121
2025-05-21T10:07:11:453Z 3711 5764 7718 8834 9658 10121 11802 14433 50996 26218
2025-05-21T10:07:13:480Z 3258 5051 6794 7783 8759 9136 10742 13058 46299 24529
2025-05-21T10:07:14:508Z 3255 5046 6786 7777 8537 8900 10494 12791 44568 23394
2025-05-21T10:07:15:538Z 3085 4809 6482 7357 8509 8759 10437 12678 43291 23038
2025-05-21T10:07:16:566Z 3028 4792 6423 7355 8704 8973 10623 12934 45119 24307
2025-05-21T10:07:17:594Z 3184 4986 6719 7653 8625 8901 10519 12831 44812 24117
2025-05-21T10:07:18:621Z 3042 4824 6462 7387 7860 8142 9674 11867 38906 21017
2025-05-21T10:07:19:648Z 2997 4677 6331 7172 8795 9080 10758 13075 45826 24802
2025-05-21T10:07:20:676Z 3300 5137 6940 7918 9110 9459 11168 13590 47176 25483
2025-05-21T10:07:21:707Z 3361 5241 7074 8092 9173 9523 11242 13667 47930 25769
2025-05-21T10:07:22:735Z 3352 5236 7069 8077 9410 9776 11552 14032 48475 26044
2025-05-21T10:07:23:763Z 3653 5756 7743 8971 10252 10483 12696 15087 49670 26677
2025-05-21T10:07:24:791Z 3687 5802 7809 9045 10295 10521 12747 15145 49932 26788
2025-05-21T10:07:25:819Z 3691 5805 7816 9047 10298 10526 12750 15146 49933 26791
2025-05-21T10:07:26:847Z 3690 5805 7815 9049 10296 10520 12745 15140 49905 26769
2025-05-21T10:07:27:874Z 3690 5804 7815 9047 10296 10520 12741 15143 49903 26776
2025-05-21T10:07:28:905Z 3689 5804 7816 9046 10288 10514 12731 15131 49879 26762
2025-05-21T10:07:29:933Z 3683 5793 7801 9024 10265 10484 12699 15090 49705 26684
2025-05-21T10:07:30:972Z 3670 5777 7780 9000 11828 12169 14554 16924 53535 25278
2025-05-21T10:07:31:019Z 7432 11674 15775 18362 23309 24356 29393 33874 65535 51661
2025-05-21T10:07:32:047Z 7541 11853 16102 18770 17167 17931 21222 25105 65535 33376
2025-05-21T10:07:33:076Z 7612 11525 15778 18550 24502 25750 30405 35955 65535 55198
2025-05-21T10:07:34:129Z 8576 13649 18304 21692 23069 24157 29132 33585 65535 57525
2025-05-21T10:07:35:155Z 8649 13754 18438 21825 24277 25419 30319 35489 65535 56914
2025-05-21T10:07:36:183Z 9054 13965 19051 22200 24072 24929 29756 34885 65535 51063
2025-05-21T10:07:37:211Z 8734 13422 18371 21348 23790 24602 29444 34141 65535 51144
2025-05-21T10:07:38:239Z 8701 13380 18299 21284 23717 24511 29368 34028 65535 51011
2025-05-21T10:07:39:267Z 8671 13331 18232 21213 23711 24516 29356 34143 65535 50822
2025-05-21T10:07:40:297Z 8686 13341 18289 21165 23632 24498 29259 34117 65535 50927
2025-05-21T10:07:41:325Z 8668 13308 18196 21131 23436 24384 28983 33996 65535 51106
2025-05-21T10:07:42:352Z 8577 13155 17965 20881 22987 23896 28505 33280 65535 50927
2025-05-21T10:07:43:380Z 8487 12978 17760 20667 23066 23854 28589 33217 65535 51135
2025-05-21T10:07:44:408Z 8377 12840 17599 20453 22660 23283 28211 32314 65535 50323
2025-05-21T10:07:45:436Z 8151 12500 17108 20051 22230 23022 27745 31803 65535 47324
2025-05-21T10:07:47:466Z 8377 12824 17524 20686 23261 24225 29220 33365 65535 46366
2025-05-21T10:07:48:465Z 8502 13217 17908 21363 23680 24800 29763 33940 65535 46591
2025-05-21T10:07:49:493Z 8441 13184 17793 21360 23112 24230 29064 33071 65535 44921
2025-05-21T10:07:50:521Z 8301 12828 17427 20719 22047 23153 27671 31594 65535 42753
2025-05-21T10:07:51:549Z 5372 7975 11131 13944 15615 16924 19717 21662 65535 22266
2025-05-21T10:07:52:577Z 3700 5386 7847 10443 13680 14810 17196 18471 60552 12642
2025-05-21T10:07:53:608Z 3586 5347 7846 10408 14446 15445 18148 19601 65535 17566
2025-05-21T10:07:54:637Z 3764 5595 8157 10902 13804 15102 17320 18591 60048 11640
2025-05-21T10:07:55:663Z 3348 4960 7408 9942 12543 13519 15384 16136 52922 7573
2025-05-21T10:07:56:691Z 2979 4455 6869 9317 12168 13010 14656 15091 48034 5259
2025-05-21T10:07:57:719Z 2835 4286 6667 9080 12179 12923 14579 14974 48910 5147
2025-05-21T10:07:58:747Z 2826 4299 6685 9068 12177 12901 14560 14970 49130 5154
2025-05-21T10:07:59:778Z 2762 4205 6560 8917 11891 12575 14162 14464 47337 4687
2025-05-21T10:08:00:776Z 2723 4182 6522 8869 11869 12500 14133 14457 47811 4784
2025-05-21T10:08:01:804Z 2731 4202 6547 8884 11945 12597 14216 14551 48034 4807
2025-05-21T10:08:02:831Z 2770 4261 6633 9023 12049 12663 14280 14556 47695 4602
2025-05-21T10:08:03:859Z 2771 4282 6666 9063 12117 12751 14379 14671 48205 4663
2025-05-21T10:08:04:887Z 2772 4269 6648 9069 12039 12666 14286 14551 48141 4615
2025-05-21T10:08:05:915Z 2785 4291 6689 9100 12283 12944 14590 14832 48918 4685
2025-05-21T10:08:06:946Z 2932 4483 6989 9497 12563 13266 14951 15187 49737 4784
2025-05-21T10:08:07:974Z 3005 4603 7183 9749 13259 13976 15773 15959 50484 4786
2025-05-21T10:08:08:002Z 3170 4884 7607 10323 13716 14469 16382 16616 51807 5037
2025-05-21T10:08:09:029Z 3250 5010 7773 10555 13882 14629 16563 16814 51914 5020
2025-05-21T10:08:10:056Z 3331 5140 7948 10748 14027 14777 16768 17058 52763 5200
2025-05-21T10:08:11:084Z 3338 5160 7990 10803 14049 14798 16774 17080 52868 5182
2025-05-21T10:08:12:114Z 3346 5177 8001 10823 14031 14769 16745 17033 52663 5143
2025-05-21T10:08:13:143Z 3332 5162 7977 10810 13998 14731 16716 17010 52840 5194
2025-05-21T10:08:14:171Z 3304 5118 7903 10724 13882 14641 16587 16888 52347 5137
2025-05-21T10:08:15:199Z 3269 5061 7815 10628 13824 14569 16509 16816 52025 5107
2025-05-21T10:08:16:227Z 3258 5048 7784 10601 13767 14530 16449 16759 51936 5115
2025-05-21T10:08:17:255Z 3244 5018 7738 10545 13699 14472 16376 16678 51444 5045
2025-05-21T10:08:18:285Z 3232 4999 7712 10510 13679 14453 16346 16657 51335 5035
2025-05-21T10:08:19:313Z 3237 4998 7708 10507 13606 14402 16268 16581 51080 5004
2025-05-21T10:08:20:341Z 3226 4974 7672 10464 13589 14373 16241 16546 50897 4970
2025-05-21T10:08:21:370Z 3221 4968 7666 10447 13565 14358 16229 16544 51010 4997
2025-05-21T10:08:22:398Z 3217 4952 7637 10415 13481 14278 16121 16423 50567 4930
2025-05-21T10:08:23:425Z 3189 4906 7579 10339 13436 14230 16046 16317 50200 4823
2025-05-21T10:08:24:456Z 3184 4898 7571 10331 13405 14211 16029 16313 50236 4878
2025-05-21T10:08:26:484Z 3171 4872 7532 10277 13301 14104 15899 16166 49679 4773
2025-05-21T10:08:27:512Z 3158 4854 7502 10247 13276 14091 15888 16173 49678 4802
2025-05-21T10:08:28:540Z 3139 4822 7448 10190 13161 13980 15742 16027 49137 4738
2025-05-21T10:08:29:568Z 3119 4790 7392 10121 13096 13918 15665 15957 49032 4733
2025-05-21T10:08:30:596Z 3091 4736 7316 10040 13003 13829 15564 15844 48781 4723
2025-05-21T10:08:31:623Z 3081 4710 7273 9978 12909 13746 15456 15719 48525 4678
2025-05-21T10:08:32:654Z 3058 4662 7210 9899 12792 13637 15322 15598 48281 4669
2025-05-21T10:08:33:682Z 3030 4606 7129 9796 12654 13501 15157 15414 47878 4618
2025-05-21T10:08:34:710Z 3014 4569 7068 9715 12567 13419 15057 15324 47746 4618
2025-05-21T10:08:35:774Z 2987 4529 7014 9637 12460 13307 14928 15198 47399 4577
2025-05-21T10:08:36:803Z 2966 4488 6949 9537 12381 13221 14823 15101 47331 4581
2025-05-21T10:08:37:831Z 2959 4473 6928 9496 12286 13122 14708 14985 47128 4567
2025-05-21T10:08:38:830Z 2944 4437 6879 9419 12215 13047 14619 14906 47076 4572
2025-05-21T10:08:39:859Z 2952 4443 6886 9410 12198 13026 14596 14887 47228 4582
2025-05-21T10:08:40:887Z 2934 4410 6843 9351 12076 12898 14450 14755 46879 4555
2025-05-21T10:08:41:915Z 2923 4396 6814 9305 12041 12855 14402 14706 46915 4532
2025-05-21T10:08:42:943Z 2916 4394 6802 9290 11949 12756 14292 14625 46711 4531
2025-05-21T10:08:43:971Z 2920 4399 6798 9266 11938 12749 14272 14622 46794 4519
2025-05-21T10:08:44:002Z 2934 4426 6829 9287 11866 12669 14175 14545 46693 4487
2025-05-21T10:08:45:030Z 2912 4389 6776 9202 11769 12564 14045 14455 46445 4473
2025-05-21T10:08:46:058Z 2937 4436 6826 9247 11786 12571 14066 14488 46693 4484
2025-05-21T10:08:47:086Z 2919 4406 6782 9171 11626 12404 13853 14323 45986 4417
2025-05-21T10:08:48:113Z 2901 4368 6727 9081 11526 12305 13724 14204 45583 4373
2025-05-21T10:08:49:141Z 2884 4337 6682 9000 11429 12212 13607 14117 45271 4354
2025-05-21T10:08:50:169Z 2865 4298 6630 8917 11238 12027 13365 13902 44395 4274
2025-05-21T10:08:51:196Z 2837 4243 6543 8788 11106 11902 13202 13756 43946 4244
2025-05-21T10:08:52:224Z 2809 4181 6462 8664 10896 11687 12936 13520 43139 4184
2025-05-21T10:08:53:252Z 2770 4101 6355 8496 10682 11468 12664 13251 42246 4111
2025-05-21T10:08:54:279Z 2694 3970 6183 8255 10172 10934 12029 12577 40440 3880
2025-05-21T10:08:55:306Z 2526 3706 5791 7740 9774 10516 11531 12101 38992 3738
2025-05-21T10:08:56:334Z 2487 3636 5692 7572 9566 10282 11245 11855 38292 3684
2025-05-21T10:08:57:364Z 2452 3580 5605 7436 9478 10188 11122 11739 37873 3651
2025-05-21T10:08:58:363Z 2418 3516 5522 7295 9276 9980 10870 11524 36899 3594
2025-05-21T10:08:59:391Z 2394 3476 5462 7202 9160 9845 10726 11376 36512 3584
2025-05-21T10:09:00:419Z 2384 3453 5429 7126 9092 9754 10629 11287 36088 3554
2025-05-21T10:09:01:447Z 2337 3377 5321 6962 8828 9461 10316 10970 35002 3497
2025-05-21T10:09:03:475Z 2313 3349 5270 6875 8766 9368 10242 10886 34480 3505
2025-05-21T10:09:04:505Z 2202 3221 5033 6548 8883 9455 10521 11213 32303 3366
2025-05-21T10:09:05:534Z 2867 4217 6299 8147 12036 12994 14962 16917 48320 15204
2025-05-21T10:09:06:561Z 5906 8858 12260 14204 18057 18595 22099 26023 65535 33099
2025-05-21T10:09:07:589Z 6632 10239 14094 16163 17645 17969 21819 25360 65535 35953
2025-05-21T10:09:08:618Z 6569 10007 13798 15863 17545 17862 21842 25298 65535 34862
2025-05-21T10:09:09:645Z 5696 8914 11935 14335 16002 16950 19966 23494 65535 34729
2025-05-21T10:09:10:675Z 6757 10294 14078 16286 19864 20433 24617 28629 65535 51037
2025-05-21T10:09:11:674Z 7543 11862 16052 18603 16439 17112 20232 24126 65535 37230
2025-05-21T10:09:12:702Z 6625 10280 13843 16151 18064 18741 22139 26509 65535 41117
2025-05-21T10:09:13:730Z 5054 7420 10169 11942 7372 7745 9147 11069 36902 22775
2025-05-21T10:09:14:758Z 2533 3654 4812 5697 6140 6663 7787 9706 32607 21010
2025-05-21T10:09:15:786Z 2547 3793 4887 5842 6265 6487 7675 9758 35016 21093
2025-05-21T10:09:16:814Z 3012 4481 5968 7019 14245 14931 17195 21394 65535 38798
2025-05-21T10:09:17:844Z 5745 8457 11796 13131 14706 15383 17759 21872 65535 40724
2025-05-21T10:09:18:872Z 5682 8325 11577 12904 14619 15246 17651 21696 65535 40493
2025-05-21T10:09:19:900Z 5683 8336 11601 12930 14272 14982 17220 21224 65535 40470
2025-05-21T10:09:20:928Z 6091 9126 12562 14193 16322 17170 19632 24436 65535 40280
2025-05-21T10:09:21:956Z 6063 9156 12544 14181 15775 16589 18909 23704 65535 39728
2025-05-21T10:09:22:984Z 5881 8836 12068 13622 14644 15408 17477 22154 65535 38963
2025-05-21T10:09:23:014Z 5603 8383 11356 12832 14116 14816 16949 21313 65535 38665
2025-05-21T10:09:24:042Z 3319 4875 6552 7965 6494 6462 7715 9895 34067 20619
2025-05-21T10:09:25:070Z 2481 3834 4988 5601 6591 6651 8016 10062 35138 21235
2025-05-21T10:09:26:098Z 2508 3854 5020 5595 6531 6547 7787 9897 35077 21344
2025-05-21T10:09:27:126Z 2508 3846 5011 5577 6520 6534 7792 9897 34965 21251
2025-05-21T10:09:28:154Z 2502 3838 5001 5552 6525 6535 7786 9897 34971 21281
2025-05-21T10:09:29:184Z 2501 3844 5005 5563 6529 6541 7811 9915 34944 21215
2025-05-21T10:09:30:212Z 2495 3842 4991 5562 6491 6521 7783 9893 34908 21225
2025-05-21T10:09:31:240Z 2480 3847 4972 5572 6490 6510 7807 9909 34910 21203
2025-05-21T10:09:32:268Z 2470 3839 4955 5548 6477 6493 7773 9881 34877 21223
2025-05-21T10:09:33:296Z 2468 3837 4953 5545 6483 6508 7794 9896 34874 21166
2025-05-21T10:09:34:323Z 2468 3843 4964 5561 6485 6507 7790 9896 34869 21176
2025-05-21T10:09:35:359Z 2466 3836 4955 5549 6470 6489 7750 9864 34793 21158
2025-05-21T10:09:36:407Z 2462 3834 4950 5540 6470 6492 7771 9872 34785 21117
2025-05-21T10:09:37:435Z 2466 3831 4947 5541 6464 6484 7764 9863 34742 21077
2025-05-21T10:09:39:463Z 2454 3809 4919 5498 6412 6438 7701 9798 34639 21032
2025-05-21T10:09:40:490Z 2456 3827 4938 5535 6449 6475 7773 9854 34606 20960
2025-05-21T10:09:41:530Z 2449 3818 4928 5514 6434 6442 7706 9814 34527 21002
2025-05-21T10:09:42:558Z 2460 3833 4949 5532 6473 6489 7768 9882 34722 21126
2025-05-21T10:09:43:589Z 2460 3836 4949 5540 6465 6481 7762 9866 34629 21042
2025-05-21T10:09:44:617Z 2463 3839 4953 5553 6465 6486 7773 9871 34648 21039
2025-05-21T10:09:45:644Z 2459 3833 4945 5537 6474 6496 7785 9883 34693 21071
2025-05-21T10:09:46:672Z 2463 3836 4950 5560 6441 6471 7776 9848 34499 20892
2025-05-21T10:09:47:700Z 2449 3807 4924 5506 6451 6488 7821 9865 34994 21236
2025-05-21T10:09:48:727Z 2398 3771 4861 5467 6281 6295 7668 9699 34389 20835
2025-05-21T10:09:49:755Z 2338 3750 4786 5414 6132 6106 7434 9512 33404 20170
2025-05-21T10:09:50:786Z 2271 3667 4717 5227 7093 7081 8976 9978 40602 23546
2025-05-21T10:09:51:814Z 2874 4219 5808 6630 8341 8945 10300 12747 46690 24423
2025-05-21T10:09:52:842Z 4453 6464 8689 10483 16953 17501 20592 24960 65535 39890
2025-05-21T10:09:53:870Z 5457 8321 11315 13004 15318 16033 19036 22298 65535 34542
2025-05-21T10:09:54:898Z 6665 10680 14465 16990 20952 21514 26305 30479 65535 49021
2025-05-21T10:09:55:926Z 7792 12500 16738 19882 21846 22896 27708 31488 65535 44884
2025-05-21T10:09:56:957Z 8012 12132 16515 19523 20275 21449 24955 29263 65535 40224
2025-05-21T10:09:57:985Z 7302 10864 15150 17237 16774 16799 20729 23586 65535 39845
2025-05-21T10:09:58:013Z 5338 8025 11051 12648 13032 13217 16062 18883 56200 28685
2025-05-21T10:09:59:041Z 4651 7046 9534 11136 12613 13379 15918 18126 47981 25180
2025-05-21T10:10:00:069Z 5134 7618 10665 12114 14677 15066 18380 20989 65535 37228
2025-05-21T10:10:01:097Z 5727 8954 12243 14105 17277 17570 21717 24577 65535 45050
2025-05-21T10:10:02:128Z 6350 10026 13630 15962 18580 18848 23260 26337 65535 48346
2025-05-21T10:10:03:156Z 6569 10389 14197 16366 17715 18321 22089 25767 65535 45744
2025-05-21T10:10:04:184Z 5672 8538 11806 13428 13880 14386 16929 20216 53652 27455
2025-05-21T10:10:05:212Z 5483 8503 11393 13576 15439 15853 19432 22227 57788 29729
2025-05-21T10:10:06:240Z 5330 8256 11072 13105 13814 14007 17313 19771 49324 26283
2025-05-21T10:10:07:268Z 4792 7414 9957 11779 13018 13125 16269 18463 48455 26377
2025-05-21T10:10:08:298Z 5266 8043 10981 12560 14721 15154 18120 21456 65535 34267
2025-05-21T10:10:09:326Z 4941 7452 10187 11616 10962 10987 13568 15607 45361 25316
2025-05-21T10:10:10:354Z 4407 6551 8835 10343 14100 14287 17474 20238 57806 30033
2025-05-21T10:10:11:382Z 5500 8367 11368 13119 15434 15795 18987 22259 63894 31743
2025-05-21T10:10:12:410Z 6081 9375 12752 14816 16715 17071 20807 24125 65535 34357
2025-05-21T10:10:13:438Z 6251 9685 12973 15373 18020 18563 22545 26111 65535 38222
2025-05-21T10:10:15:469Z 6736 10579 14093 16756 17057 18052 21000 25104 65535 28602
2025-05-21T10:10:16:497Z 5949 9338 12562 14730 15009 15550 18535 21673 57144 24629
2025-05-21T10:10:17:525Z 5274 8268 11180 13006 15524 16008 19063 22231 63496 27362
2025-05-21T10:10:18:553Z 6068 9498 12864 14888 17610 18370 21234 25562 65535 35356
2025-05-21T10:10:19:581Z 5657 8852 12019 13968 13750 14946 17073 19513 65535 29142
2025-05-21T10:10:20:609Z 4375 6510 9098 11261 13916 15132 17179 19804 65512 28743
2025-05-21T10:10:21:637Z 4308 6372 8965 11183 13907 15227 17233 19744 65535 28561
2025-05-21T10:10:22:668Z 4966 7523 10492 12812 16957 18159 20725 24550 65535 34983
2025-05-21T10:10:23:696Z 5148 7873 10911 13167 16527 17608 20189 23755 65535 30266
2025-05-21T10:10:24:724Z 5137 7810 10927 13159 15883 16919 19543 22748 65535 31143
2025-05-21T10:10:25:752Z 5466 8382 11651 13959 16880 17977 20677 24333 65535 34515
2025-05-21T10:10:26:780Z 5446 8296 11557 13692 16774 17936 20476 24376 65535 33450
2025-05-21T10:10:27:808Z 5971 9229 12792 14937 17077 18066 20923 24789 65535 36670
2025-05-21T10:10:28:838Z 5675 8800 12245 14459 17328 18328 21196 25049 65535 35457
2025-05-21T10:10:29:867Z 5819 8946 12394 14554 16321 17394 20002 23525 65535 35675
2025-05-21T10:10:30:895Z 5591 8606 11958 14208 17359 18246 21365 25026 65535 40448
2025-05-21T10:10:31:923Z 5670 8845 12233 14589 17388 18211 21345 24964 65535 39409
2025-05-21T10:10:32:951Z 5707 8831 12277 14551 18064 19017 22215 26142 65535 41530
2025-05-21T10:10:33:979Z 6077 9513 13101 15575 18015 18835 22016 25940 65535 37338
2025-05-21T10:10:34:009Z 6378 10107 13891 16335 19011 19690 23368 27432 65535 38591
