METADATA
initial_wait_s: 15
measures: 1
period_ms: 1000
depth: 0.5
name: kdupro01
buoy: 1
country: colombia
place: akuara
maker: udea
curator: icm-csic
email: rodero@icm.csic.es
sensors: tcs34725
description: calibration
units: counts,
latitude: 41.383189
longitude: 2.197949
altitude: 0
ref_coord_system: wgs84
location_source: gnss
time_source: internet
processing_level: 0
processing_procedure: https://git.csic.es/kduino/kdupro
processing_version: build
processing_revision: 0
calibration_procedure: https://git.csic.es/kduino/kdupro
calibration_reference: 0
calibration_time: 0
calibration_version: 0
sensor_id: 
platform_id: 
deployment_id: 
sample_id: 
observer_id: 
owner_contact: jpiera@icm.csic.es
operator_contact: rodero@icm.csic.es
license: mit
license_reference: https://opensource.org/licenses/mit
embargo_date: 
datetime: yyyy-mm-ddthh:mm:ssz
time: 2025-04-16T10:47:11:085Z
DATA
TIME F1-415nm F2-445nm F3-480nm F4-515nm F5-555nm F6-590nm F7-630nm F8-680nm Clear Near-IR
2025-04-16T10:48:47:130Z 40181 46965 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:48:130Z 39918 46711 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:49:130Z 39915 46696 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:50:130Z 39913 46680 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:51:130Z 39863 46632 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:52:130Z 39861 46617 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:53:130Z 39874 46615 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:54:130Z 39970 46748 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:55:130Z 39997 46735 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:56:130Z 39902 46630 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:57:130Z 39790 46407 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:58:130Z 39959 46547 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:48:59:130Z 39704 46228 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:00:130Z 39806 46316 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:01:130Z 39710 46071 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:02:130Z 39641 45929 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:03:130Z 39641 45848 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:04:130Z 39555 45673 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:05:130Z 39791 45814 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:06:130Z 39566 45497 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:07:130Z 39612 45397 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:08:130Z 39740 45451 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:09:130Z 39531 45096 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:10:130Z 39500 44958 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:11:130Z 39463 44785 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:12:130Z 39500 44677 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:13:130Z 39447 44553 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:14:130Z 39438 44403 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:15:130Z 39588 44443 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:16:130Z 39449 44164 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:17:130Z 39262 43903 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:18:130Z 39291 43814 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:19:130Z 39287 43709 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:20:130Z 39466 43750 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:21:130Z 39349 43586 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:22:130Z 39301 43411 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:23:130Z 39195 43245 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:24:130Z 39429 43351 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:25:130Z 39226 43019 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:26:130Z 39074 42839 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:27:130Z 39167 42764 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:28:130Z 39124 42619 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:29:130Z 39012 42471 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:30:130Z 39171 42505 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:31:130Z 38911 42133 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:32:130Z 38940 42064 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:33:130Z 39020 41997 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:34:130Z 38959 41961 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:35:130Z 38881 41740 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:36:130Z 38810 41624 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:37:130Z 39066 41754 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:38:130Z 38814 41447 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:39:130Z 38923 41449 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:40:130Z 38592 41032 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:41:130Z 38625 40848 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:42:130Z 38744 40959 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:43:130Z 38267 40337 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:44:130Z 38124 40110 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:45:130Z 38359 40333 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:46:130Z 38171 40108 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:47:130Z 38519 40650 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:48:130Z 38564 40796 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:49:130Z 38699 40905 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:50:130Z 38394 40497 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:51:130Z 38311 40445 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:52:130Z 38242 40398 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:53:130Z 38237 40412 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:54:130Z 40799 42990 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:55:130Z 38190 40487 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:56:130Z 37951 40356 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:57:130Z 37901 40331 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:58:130Z 37938 40418 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:49:59:130Z 37990 40744 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:00:130Z 37960 40859 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:01:130Z 37987 40967 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:02:130Z 37951 40977 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:03:130Z 37840 40950 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:04:130Z 37951 41116 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:05:130Z 37850 41018 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:06:130Z 37702 40918 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:07:130Z 37824 41166 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:08:130Z 37791 41146 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:09:130Z 37950 41257 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:10:130Z 37666 41046 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:11:130Z 37578 40969 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:12:130Z 37692 40996 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:13:130Z 37553 40919 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:14:130Z 37537 40909 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:15:130Z 37938 41176 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:16:130Z 37597 40946 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:17:130Z 37549 40966 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:18:130Z 37480 40823 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:19:130Z 37335 40680 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:20:130Z 37158 40374 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:21:130Z 22003 27733 35089 34429 36419 34594 36217 39520 50601 50601 65234
2025-04-16T10:50:22:130Z 20368 26541 32568 33023 32183 30564 32532 33969 50601 50601 65234
2025-04-16T10:50:23:130Z 20279 26630 32527 33239 32136 30466 32638 34004 50601 50601 65234
2025-04-16T10:50:24:130Z 20343 26702 32651 33330 32277 30597 32764 34218 50601 50601 65234
2025-04-16T10:50:25:130Z 20260 26650 32561 33276 32243 30533 32748 34137 50601 50601 65234
2025-04-16T10:50:26:130Z 20197 26561 32409 33165 32014 30418 32505 33983 50601 50601 65234
2025-04-16T10:50:27:130Z 20324 26852 32730 33499 32434 30626 32709 33757 50601 50601 65234
2025-04-16T10:50:28:130Z 20375 26992 32870 33605 32507 30699 32720 33660 50601 50601 65234
2025-04-16T10:50:29:130Z 20531 26952 33105 33545 32588 30725 32765 33859 50601 50601 65234
2025-04-16T10:50:30:130Z 20542 27049 33114 33682 32694 30936 32869 33980 50601 50601 65234
2025-04-16T10:50:31:130Z 20445 26829 32893 33366 32232 30665 32227 33502 50601 50601 65234
2025-04-16T10:50:32:130Z 21159 27295 34064 33789 33780 31491 33703 34766 50601 50601 65234
2025-04-16T10:50:33:130Z 21215 27377 34241 33881 33791 31547 33762 34849 50601 50601 65234
2025-04-16T10:50:34:130Z 21165 27335 34088 33833 33484 31526 33427 34759 50601 50601 65234
2025-04-16T10:50:35:130Z 20956 27205 33715 33718 33131 31432 33033 34492 50601 50601 65234
2025-04-16T10:50:36:130Z 36149 39804 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:37:130Z 36383 39974 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:38:130Z 36078 39696 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:39:130Z 35996 39609 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:40:130Z 36225 39792 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:41:130Z 36012 39580 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:42:130Z 36191 39822 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:43:130Z 36154 39712 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:44:130Z 36220 39739 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:45:130Z 36302 39836 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:46:130Z 36316 39734 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:47:130Z 36213 39697 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:48:130Z 36234 39730 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:49:130Z 36147 39684 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:50:130Z 36112 39227 50601 50415 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:51:130Z 35622 38775 50601 49792 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:52:130Z 36006 38983 50601 50031 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:50:53:130Z 26788 31159 40966 39409 31448 29341 31454 32500 50601 50601 65234
2025-04-16T10:50:54:130Z 19889 25883 31981 32309 31425 29389 31903 32639 50601 50601 65234
2025-04-16T10:50:55:130Z 19740 25743 31764 32145 31302 29221 31856 32421 50601 50601 65234
2025-04-16T10:50:56:130Z 19938 26083 32145 32531 31753 29449 32135 32372 50601 50601 65234
2025-04-16T10:50:57:130Z 20056 26283 32322 32775 31900 29642 32301 32546 50601 50601 65234
2025-04-16T10:50:58:130Z 20004 26328 32294 32845 31915 29649 32334 32505 50601 50601 65234
2025-04-16T10:50:59:130Z 20129 26691 32642 33316 32583 30233 33082 33347 50601 50601 65234
2025-04-16T10:51:00:130Z 21332 27139 34214 33758 33737 31234 33659 34490 50601 50601 65234
2025-04-16T10:51:01:130Z 21811 26612 35056 32942 50309 49479 50076 50502 50601 50601 65234
2025-04-16T10:51:02:130Z 37843 39848 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:51:03:130Z 37844 39793 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:51:04:130Z 38214 39964 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:51:05:130Z 38132 39920 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:51:06:130Z 38174 39882 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:51:07:130Z 38145 39916 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:51:08:130Z 37956 39674 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:51:09:130Z 38263 39813 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:51:10:130Z 35567 37720 50601 49997 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:51:11:130Z 38537 40280 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:51:12:130Z 35738 39597 50601 50598 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:51:13:130Z 36211 40714 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:51:14:130Z 35557 40552 50601 50601 50601 50600 50601 50601 50601 50601 65234
2025-04-16T10:51:15:130Z 35028 40094 50601 50514 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:51:16:130Z 34898 39925 50601 50255 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:51:17:130Z 34776 39855 50601 50181 50601 50497 50601 50601 50601 50601 65234
2025-04-16T10:51:18:130Z 32694 37845 50601 47441 50601 45531 50601 50601 50601 50601 65234
2025-04-16T10:51:19:130Z 28049 32889 46527 41717 46833 39502 47927 50420 50601 50601 65234
2025-04-16T10:51:20:130Z 1437 1664 2063 2468 2373 3194 6014 9861 26584 19226 65234
2025-04-16T10:51:21:130Z 1357 1506 1870 2232 2039 2751 5321 8992 23790 17601 65234
2025-04-16T10:51:22:130Z 998 1111 1356 1622 1738 2384 4742 8084 20948 15305 65234
2025-04-16T10:51:23:130Z 989 1092 1328 1620 1759 2435 4892 8262 21630 15514 65234
2025-04-16T10:51:24:130Z 1097 1221 1489 1801 2410 3277 6470 10624 28102 20742 65234
2025-04-16T10:51:25:130Z 1821 2034 2521 3103 2598 3566 7026 11598 31426 23467 65234
2025-04-16T10:51:26:130Z 1440 1587 1940 2350 2483 3426 6872 11489 30964 23033 65234
2025-04-16T10:51:27:130Z 1519 1670 2035 2465 2590 3565 7211 12061 32538 24369 65234
2025-04-16T10:51:28:130Z 1537 1687 2056 2484 2610 3588 7276 12186 32829 24588 65234
2025-04-16T10:51:29:130Z 1557 1709 2082 2512 2628 3612 7347 12343 33187 24891 65234
2025-04-16T10:51:30:130Z 1614 1772 2160 2605 2732 3754 7641 12823 34548 25946 65234
2025-04-16T10:51:31:130Z 1650 1815 2212 2663 2753 3773 7673 12937 34698 26216 65234
2025-04-16T10:51:32:130Z 1657 1820 2218 2659 2780 3791 7713 13031 34952 26591 65234
2025-04-16T10:51:33:130Z 1624 1784 2174 2612 2676 3667 7464 12609 33888 25609 65234
2025-04-16T10:51:34:130Z 1143 1247 1511 1803 1836 2530 5045 8799 22773 17051 65234
2025-04-16T10:51:35:130Z 1035 1138 1381 1618 1649 2244 4402 7899 18762 13149 65234
2025-04-16T10:51:36:130Z 980 1076 1307 1527 1599 2183 4315 7758 18438 12923 65234
2025-04-16T10:51:37:130Z 978 1074 1303 1520 1583 2155 4278 7714 18304 12827 65234
2025-04-16T10:51:38:130Z 1001 1096 1327 1554 1634 2239 4494 8120 19283 13302 65234
2025-04-16T10:51:39:130Z 991 1086 1319 1541 1601 2186 4357 7888 18710 12940 65234
2025-04-16T10:51:40:130Z 971 1063 1291 1509 1576 2151 4279 7746 18432 12770 65234
2025-04-16T10:51:41:130Z 963 1055 1281 1499 1570 2141 4262 7710 18386 12744 65234
2025-04-16T10:51:42:130Z 976 1071 1301 1525 1588 2167 4318 7800 18612 12855 65234
2025-04-16T10:51:43:130Z 973 1068 1299 1523 1604 2188 4351 7848 18752 12940 65234
2025-04-16T10:51:44:130Z 975 1070 1303 1528 1600 2180 4328 7807 18681 12904 65234
2025-04-16T10:51:45:130Z 968 1063 1294 1518 1604 2184 4330 7809 18719 12942 65234
2025-04-16T10:51:46:130Z 975 1070 1304 1530 1615 2197 4353 7852 18846 13025 65234
2025-04-16T10:51:47:130Z 977 1075 1308 1535 1602 2180 4334 7823 18787 12990 65234
2025-04-16T10:51:48:130Z 963 1059 1291 1514 1598 2173 4298 7745 18599 12868 65234
2025-04-16T10:51:49:130Z 966 1062 1295 1520 1601 2173 4294 7739 18589 12882 65234
2025-04-16T10:51:50:130Z 964 1062 1295 1519 1596 2165 4272 7707 18533 12857 65234
2025-04-16T10:51:51:130Z 975 1073 1309 1536 1617 2195 4337 7823 18806 13020 65234
2025-04-16T10:51:52:130Z 981 1079 1318 1546 1624 2205 4348 7840 18860 13072 65234
2025-04-16T10:51:53:130Z 978 1076 1314 1542 1620 2198 4334 7816 18823 13049 65234
2025-04-16T10:51:54:130Z 977 1074 1312 1540 1622 2200 4338 7822 18868 13085 65234
2025-04-16T10:51:55:130Z 982 1080 1320 1550 1624 2207 4359 7849 18925 13097 65234
2025-04-16T10:51:56:130Z 1004 1107 1352 1588 1660 2250 4437 7995 19323 13427 65234
2025-04-16T10:51:57:130Z 1263 1396 1705 2010 2136 2927 5843 10452 25815 18071 65234
2025-04-16T10:51:58:130Z 31800 37489 50149 48204 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:51:59:130Z 34647 41929 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:00:130Z 35294 42860 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:01:130Z 35283 42831 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:02:130Z 35559 43082 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:03:130Z 35388 42882 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:04:130Z 35654 43125 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:05:130Z 35431 42891 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:06:130Z 35647 43080 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:07:130Z 35415 42812 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:08:130Z 35451 42848 50601 50601 50601 50601 50601 50601 50601 50601 65234
2025-04-16T10:52:09:130Z 35706 43043 50601 50601 50601 50601 50601 50601 50601 50601 65234
