METADATA
initial_wait_s: 30
measures: 1
period_ms: 1000
depth: 0.5
name: kdupro01
buoy: 0
country: usa
place: discobay
maker: udea
curator: icm-csic
email: rodero@icm.csic.es
sensors: tcs34725
description: calibration
units: counts,
latitude: 41.383189
longitude: 2.197949
altitude: 0
ref_coord_system: wgs84
location_source: gnss
time_source: internet
processing_level: 0
processing_procedure: https://git.csic.es/kduino/kdupro
processing_version: build
processing_revision: 0
calibration_procedure: https://git.csic.es/kduino/kdupro
calibration_reference: 0
calibration_time: 0
calibration_version: 0
sensor_id: 
platform_id: 
deployment_id: 
sample_id: 
observer_id: 
owner_contact: jpiera@icm.csic.es
operator_contact: rodero@icm.csic.es
license: mit
license_reference: https://opensource.org/licenses/mit
embargo_date: 
datetime: yyyy-mm-ddthh:mm:ssz
time: 2025-02-26T10:14:01:032Z
DATA
TIME L0 L1 L2 L3 L4 L5 L6 L7 L8 L9 L10 L11
2025-02-26T10:14:39:050Z 23344 34233 42096 47347 50601 50601 50439 50601 50601 50601 50601 50601
2025-02-26T10:14:40:050Z 28564 38762 47465 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:14:41:050Z 27827 37844 46464 50601 50601 50601 49755 50601 50601 50601 50601 50601
2025-02-26T10:14:42:050Z 27324 37797 46180 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:14:43:050Z 27716 37850 46555 50601 50601 50601 49160 50601 50601 50601 50601 50601
2025-02-26T10:14:44:050Z 26653 37067 44985 50601 50601 50601 47272 50601 50601 50601 50601 50601
2025-02-26T10:14:45:050Z 24907 34178 41328 46905 50601 50601 45175 50601 50601 50601 50601 50601
2025-02-26T10:14:46:050Z 24259 34520 41272 47249 50601 50601 45111 50601 50601 50601 50601 50601
2025-02-26T10:14:47:050Z 24437 34546 41319 47077 50601 50601 43658 49694 50601 50601 50601 50601
2025-02-26T10:14:48:050Z 20792 30360 35986 43061 50601 50601 44407 48366 50601 50601 50601 50601
2025-02-26T10:14:49:050Z 22887 33544 41090 45199 50601 50601 42381 43567 49207 50601 50601 50601
2025-02-26T10:14:50:050Z 25467 37777 45536 50240 50601 50601 50471 50503 50601 50601 50601 50601
2025-02-26T10:14:51:050Z 34868 46502 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:14:52:050Z 35747 49626 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:14:53:050Z 30662 40540 49270 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:14:54:050Z 28966 41829 49761 50601 50601 50601 49159 49603 50601 50601 50601 50601
2025-02-26T10:14:55:050Z 22702 34271 41543 46599 50601 50601 45760 46298 50601 50601 50601 50601
2025-02-26T10:14:56:050Z 21103 31285 37955 41631 50601 50601 47232 48836 50601 50601 50601 50601
2025-02-26T10:14:57:050Z 22912 34059 41855 45991 50601 50601 47655 49675 50601 50601 50601 50601
2025-02-26T10:14:58:050Z 23494 34887 42767 46889 50601 50601 49058 50601 50601 50601 50601 50601
2025-02-26T10:14:59:050Z 23393 34690 42640 46719 50601 50601 48241 50584 50601 50601 50601 50601
2025-02-26T10:15:00:050Z 23503 34664 42664 46827 50601 50601 47838 50601 50601 50601 50601 50601
2025-02-26T10:15:01:050Z 24492 35843 43938 48511 50601 50601 50560 50601 50601 50601 50601 50601
2025-02-26T10:15:02:050Z 23701 34825 42026 46584 50601 50601 47775 49956 50601 50601 50601 50601
2025-02-26T10:15:03:050Z 23711 34537 41220 45531 50601 50601 46363 48916 50601 50601 50601 50601
2025-02-26T10:15:04:050Z 24756 36439 44242 48703 50601 50601 48422 50601 50601 50601 50601 50601
2025-02-26T10:15:05:050Z 26892 37860 45756 50601 50601 50601 49466 50601 50601 50601 50601 50601
2025-02-26T10:15:06:050Z 26664 36467 44570 48549 50601 50601 47510 50601 50601 50601 50601 50601
2025-02-26T10:15:07:050Z 25935 36595 44154 49596 50601 50601 48735 50601 50601 50601 50601 50601
2025-02-26T10:15:08:050Z 25756 37261 44228 50601 50601 50601 49605 50601 50601 50601 50601 50601
2025-02-26T10:15:09:050Z 27158 38674 46503 50601 50601 50601 50521 50601 50601 50601 50601 50601
2025-02-26T10:15:10:050Z 25366 36626 43615 49241 50601 50601 46961 50601 50601 50601 50601 50601
2025-02-26T10:15:11:050Z 25629 35989 43293 48652 50601 50601 45383 50501 50601 50601 50601 50601
2025-02-26T10:15:12:050Z 24391 34940 41455 47550 50601 50601 43271 48562 50601 50601 50601 50601
2025-02-26T10:15:13:050Z 6849 9271 12584 15964 50601 50601 14130 18518 31015 42047 50601 50601
2025-02-26T10:15:14:050Z 6142 7492 10348 12687 50601 50601 11714 15852 25923 36121 50601 50601
2025-02-26T10:15:15:050Z 6125 7513 10351 12823 50601 50601 11916 16066 26428 36742 50601 50601
2025-02-26T10:15:16:050Z 6169 7436 10226 12700 50601 50601 11888 16144 26587 36749 50601 50601
2025-02-26T10:15:17:050Z 6024 7386 10133 12567 50601 50601 11731 15961 26043 36492 50601 50601
2025-02-26T10:15:18:050Z 5852 6941 9562 11858 50601 50601 10571 14403 23873 32877 50601 50382
2025-02-26T10:15:19:050Z 5712 6822 9401 11867 50601 50601 10633 14518 24337 33000 50601 50553
2025-02-26T10:15:20:050Z 5481 6549 9011 11408 50601 50154 11099 15094 25458 34503 50601 50601
2025-02-26T10:15:21:050Z 5338 6556 8994 11377 50601 50086 10626 14328 24194 32818 50601 50325
2025-02-26T10:15:22:050Z 5604 6848 9420 11740 50601 50601 10213 13787 23360 31761 50601 49989
2025-02-26T10:15:23:050Z 6074 7623 10362 12794 50601 50601 12826 17583 28423 39257 50601 50601
2025-02-26T10:15:24:050Z 20792 30034 35538 39838 50601 50601 41930 46897 50295 50601 50601 50601
2025-02-26T10:15:25:050Z 10035 14489 17207 20024 50601 50601 39325 43116 48988 50601 50601 50601
2025-02-26T10:15:26:050Z 22586 32761 38891 43929 50601 50601 41128 45922 50356 50601 50601 50601
2025-02-26T10:15:27:050Z 22069 31984 37942 42746 50601 50601 40794 45453 49733 50601 50601 50601
2025-02-26T10:15:28:050Z 21752 31315 37204 41909 50601 50601 40068 44736 48942 50601 50601 50601
2025-02-26T10:15:29:050Z 21838 31815 37694 42435 50601 50601 37029 41689 46843 50601 50601 50601
2025-02-26T10:15:30:050Z 15790 22918 26774 29931 50601 50601 18345 23154 30802 45964 50601 50601
2025-02-26T10:15:31:050Z 18535 27325 31999 35830 50601 50601 31481 35699 42811 50601 50601 50601
2025-02-26T10:15:32:050Z 16783 24022 28506 31666 50601 50601 27875 32402 39626 50601 50601 50601
2025-02-26T10:15:33:050Z 21120 30449 36106 40776 50601 50601 37600 42618 46100 50601 50601 50601
2025-02-26T10:15:34:050Z 20621 28520 34145 38400 50601 50601 36172 41143 44322 50601 50601 50601
2025-02-26T10:15:35:050Z 19001 27076 32543 36016 50601 50601 35014 38721 42484 50601 50601 50601
2025-02-26T10:15:36:050Z 20207 27092 33596 36231 50601 50601 42400 46224 49511 50601 50601 50601
2025-02-26T10:15:37:050Z 28592 38294 46755 50601 50601 50601 50300 50601 50601 50601 50601 50601
2025-02-26T10:15:38:050Z 28760 38469 47026 50601 50601 50601 50028 50601 50601 50601 50601 50601
2025-02-26T10:15:39:050Z 26002 34499 43370 48145 50601 50601 47463 50601 50601 50601 50601 50601
2025-02-26T10:15:40:050Z 18226 25018 31247 33789 50601 50601 32657 34478 40423 50601 50601 50601
2025-02-26T10:15:41:050Z 15765 21053 25229 27697 50601 50601 29395 32373 34685 43924 50601 50601
2025-02-26T10:15:42:050Z 21819 28416 35482 38053 50601 50601 39835 42033 48458 50601 50601 50601
2025-02-26T10:15:43:050Z 23899 30816 37781 40853 50601 50601 40510 44811 48187 50601 50601 50601
2025-02-26T10:15:44:050Z 24289 31629 38765 41620 50601 50601 41718 45803 49180 50601 50601 50601
2025-02-26T10:15:45:050Z 24405 31963 39094 41922 50601 50601 42517 46484 49859 50601 50601 50601
2025-02-26T10:15:46:050Z 24600 32963 39690 43187 50601 50601 43547 47584 50569 50601 50601 50601
2025-02-26T10:15:47:050Z 21724 27250 33537 38603 50601 50601 38648 49055 50601 50601 50601 50601
2025-02-26T10:15:48:050Z 22534 27375 34254 39254 50601 50601 37543 48369 50601 50601 50601 50601
2025-02-26T10:15:49:050Z 25722 35164 42150 45710 50601 50601 45951 49999 50601 50601 50601 50601
2025-02-26T10:15:50:050Z 23327 31968 38659 42690 50601 50601 41409 44151 49601 50601 50601 50601
2025-02-26T10:15:51:050Z 21482 28006 35121 38938 50601 50601 40211 42294 50551 50601 50601 50601
2025-02-26T10:15:52:050Z 24649 34517 44435 50563 50601 50601 50550 50601 50601 50601 50601 50601
2025-02-26T10:15:53:050Z 22125 28758 37055 45049 50601 50601 44966 50601 50601 50601 50601 50601
2025-02-26T10:15:54:050Z 21019 27650 35521 42772 50601 50601 45354 50601 50601 50601 50601 50601
2025-02-26T10:15:55:050Z 21245 27877 34708 38217 50601 50601 38590 40718 45900 50601 50601 50601
2025-02-26T10:15:56:050Z 18451 24966 29952 34204 50601 50601 33198 35608 40215 47744 50601 50601
2025-02-26T10:15:57:050Z 15712 21269 26033 29345 50601 50601 32602 34917 39176 49465 50601 50601
2025-02-26T10:15:58:050Z 19665 28229 33580 37058 50601 50601 36520 40379 46512 50601 50601 50601
2025-02-26T10:15:59:050Z 16338 23493 27439 31221 50601 50601 28226 29929 34305 45224 50601 50601
2025-02-26T10:16:00:050Z 13977 19959 23605 26234 50601 50601 26186 27338 30409 36623 50601 50601
2025-02-26T10:16:01:050Z 13626 19367 22892 25944 50601 50601 26291 28130 33037 42244 50601 50601
2025-02-26T10:16:02:050Z 15146 19547 25088 28464 50601 50601 28326 32607 38488 50341 50601 50601
2025-02-26T10:16:03:050Z 17587 25425 32182 35794 50601 50601 31882 35356 37846 50601 50601 50601
2025-02-26T10:16:04:050Z 17348 24689 30992 32791 50601 50601 30004 34203 36291 50601 50601 50601
2025-02-26T10:16:05:050Z 19019 27939 34082 35968 50601 50601 24839 28478 29752 37739 50601 50601
2025-02-26T10:16:06:050Z 15024 21738 27778 30367 50601 50601 31957 35529 39068 48930 50601 50601
2025-02-26T10:16:07:050Z 16628 24057 30832 34468 50601 50601 35919 39401 43506 50601 50601 50601
2025-02-26T10:16:08:050Z 17328 25227 32283 35814 50601 50601 37945 42447 45564 50601 50601 50601
2025-02-26T10:16:09:050Z 18471 27450 34637 38288 50601 50601 36708 40785 41894 50601 50601 50601
2025-02-26T10:16:10:050Z 25301 39261 49249 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:16:11:050Z 24864 38532 48632 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:16:12:050Z 24933 38693 48806 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:16:13:050Z 25038 38839 48927 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:16:14:050Z 24830 38583 48677 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:16:15:050Z 23491 36366 46078 49638 50601 50601 47508 50572 50601 50601 50601 50601
2025-02-26T10:16:16:050Z 25071 39457 49195 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:16:17:050Z 24959 38476 48654 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:16:18:050Z 24189 37218 47009 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:16:19:050Z 21997 33781 43330 47730 50601 50601 49267 50601 50601 50601 50601 50601
2025-02-26T10:16:20:050Z 22734 34734 44515 48463 50601 50601 50028 50601 50601 50601 50601 50601
2025-02-26T10:16:21:050Z 22414 34005 43850 47916 50601 50601 49586 50601 50601 50601 50601 50601
2025-02-26T10:16:22:050Z 22909 34703 44464 48662 50601 50601 50245 50601 50601 50601 50601 50601
2025-02-26T10:16:23:050Z 23469 35491 45253 49579 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:16:24:050Z 23328 35669 45318 49924 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:16:25:050Z 23030 34919 44835 49616 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:16:26:050Z 22740 33935 44353 49493 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:16:27:050Z 22991 34349 44624 50032 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:16:28:050Z 23490 35197 45619 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:16:29:050Z 22945 34294 44929 50355 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:16:30:050Z 20435 31613 40280 46437 50601 50601 50515 50601 50601 50601 50601 50601
2025-02-26T10:16:31:050Z 25882 39272 50601 50601 50601 50601 50601 50601 50601 50601 50601 50601
2025-02-26T10:16:32:050Z 22671 37453 44827 50601 50601 50601 46621 50183 50601 50601 50601 50601
2025-02-26T10:16:33:050Z 1058 1219 1370 1612 22182 29515 1364 1659 1841 2328 22100 29254
2025-02-26T10:16:34:050Z 582 630 689 800 11781 16988 618 801 829 1061 10653 15620
2025-02-26T10:16:35:050Z 420 442 495 567 8295 12641 515 665 690 868 8746 13276
2025-02-26T10:16:36:050Z 543 590 642 772 10843 16128 706 906 979 1258 11198 16318
2025-02-26T10:16:37:050Z 1020 1098 1266 1482 21221 27834 1901 2336 2529 3463 32267 40957
2025-02-26T10:16:38:050Z 2548 2811 3472 3863 50601 50601 3478 3965 4528 5874 50601 50601
2025-02-26T10:16:39:050Z 1898 2099 2380 2765 43899 50601 2481 3062 3317 4257 44845 50601
2025-02-26T10:16:40:050Z 1923 2122 2376 2757 44127 50601 2255 2846 2989 3866 41426 50601
2025-02-26T10:16:41:050Z 1840 2008 2259 2615 41139 50601 2218 2799 2937 3799 40716 50601
2025-02-26T10:16:42:050Z 1813 1982 2227 2583 40256 50601 2210 2793 2935 3805 39928 50601
2025-02-26T10:16:43:050Z 1875 2054 2319 2702 42041 50601 2374 2957 3160 4065 42891 50601
2025-02-26T10:16:44:050Z 1935 2110 2383 2754 44102 50601 2365 2955 3132 4031 43952 50601
2025-02-26T10:16:45:050Z 1885 2062 2325 2696 42641 50601 2371 2963 3162 4069 42826 50601
2025-02-26T10:16:46:050Z 1912 2101 2378 2793 42516 50601 2729 3337 3609 4711 47168 50601
2025-02-26T10:16:47:050Z 1389 1479 1676 1967 29143 39669 1615 2081 2191 2866 27440 37373
2025-02-26T10:16:48:050Z 1273 1365 1540 1815 26231 36100 1594 2041 2157 2814 27108 37229
2025-02-26T10:16:49:050Z 2234 2427 2899 3285 50571 50601 2526 3129 3361 4330 45236 50601
2025-02-26T10:16:50:050Z 1841 1940 2158 2596 31765 44219 1588 2135 2126 2906 23563 31953
2025-02-26T10:16:51:050Z 348 390 435 509 6585 8434 507 591 673 802 7673 9692
2025-02-26T10:16:52:050Z 387 447 492 616 7676 9803 475 572 638 748 6919 8991
2025-02-26T10:16:53:050Z 395 476 511 640 7732 9900 607 734 831 929 8125 10370
2025-02-26T10:16:54:050Z 502 658 683 918 9587 12144 782 894 1080 1117 8705 11154
2025-02-26T10:16:55:050Z 526 672 709 936 10591 13451 819 930 1115 1169 9821 12176
2025-02-26T10:16:56:050Z 774 998 1096 1302 15791 20287 699 764 934 985 8431 10245
2025-02-26T10:16:57:050Z 598 861 944 1035 8829 10867 790 917 1065 1274 8556 10242
2025-02-26T10:16:58:050Z 629 951 1060 1108 8271 10188 1065 1210 1409 1791 10435 12510
2025-02-26T10:16:59:050Z 699 1019 1158 1203 10420 12085 1037 1175 1351 1767 10230 11752
2025-02-26T10:17:00:050Z 732 1053 1200 1259 10934 12479 907 1030 1231 1563 8455 10323
2025-02-26T10:17:01:050Z 694 975 1076 1183 10837 13759 1123 1298 1489 1987 11301 13998
2025-02-26T10:17:02:050Z 1081 1391 1535 1704 21079 28900 1675 2028 2226 2959 23997 33175
2025-02-26T10:17:03:050Z 3031 3947 4498 5006 50601 50601 4228 5300 5746 7817 50601 50601
2025-02-26T10:17:04:050Z 3171 4603 5227 5660 49757 50601 4701 5515 6260 8649 50601 50601
2025-02-26T10:17:05:048Z 3215 4157 4706 5582 50601 50601 5212 6256 7100 10040 50601 50601
2025-02-26T10:17:06:050Z 3249 4152 4828 5415 50601 50601 4758 5635 6322 9251 50601 50601
2025-02-26T10:17:07:050Z 2707 3321 3815 4362 50601 50601 4012 4685 5563 7123 47157 50601
2025-02-26T10:17:08:050Z 1895 2316 2606 2978 36529 48433 4601 5241 6259 8326 49678 50601
2025-02-26T10:17:09:050Z 2141 2538 2890 3304 43470 50601 3081 3584 4351 5585 41056 50601
2025-02-26T10:17:10:050Z 2332 2703 3117 3542 49188 50601 3331 3985 4644 6220 45914 50601
2025-02-26T10:17:11:050Z 2802 3303 3839 4372 50601 50601 4248 5026 5806 8030 50601 50601
2025-02-26T10:17:12:050Z 2542 3092 3622 4117 49661 50601 4435 4979 6077 8093 50601 50601
2025-02-26T10:17:13:050Z 1740 2183 2515 2793 33098 42099 3094 3262 4394 5101 37123 46268
2025-02-26T10:17:14:050Z 2644 3204 4153 4209 46995 50063 3334 3623 4702 5793 38291 46986
2025-02-26T10:17:15:050Z 2495 3026 3690 3995 49565 50601 4465 4948 6144 7888 48524 50601
2025-02-26T10:17:16:050Z 2426 2854 3437 3786 49649 50601 4688 5452 6288 8270 50553 50601
2025-02-26T10:17:17:050Z 2720 3391 4243 4577 50601 50601 4191 4415 5641 6978 50601 50601
2025-02-26T10:17:18:050Z 2635 3252 3802 4342 50601 50601 5336 6136 7061 9590 50601 50601
2025-02-26T10:17:19:050Z 2964 3782 4468 4970 50601 50601 4820 5549 6493 9098 50601 50601
2025-02-26T10:17:20:050Z 3005 3775 4492 4910 50601 50601 5449 6084 7274 9663 50601 50601
2025-02-26T10:17:21:050Z 2915 3550 4169 4668 50601 50601 5369 6075 7168 9980 50601 50601
2025-02-26T10:17:22:050Z 3404 4119 4893 5428 50601 50601 5496 6448 7228 10281 50601 50601
2025-02-26T10:17:23:050Z 3476 4181 5110 5624 50601 50601 4719 5564 6261 8714 50601 50601
2025-02-26T10:17:24:050Z 1689 2118 2502 2591 33719 41225 2732 3004 3675 4608 39901 48059
2025-02-26T10:17:25:050Z 2216 2797 3520 3523 48689 50420 3200 3343 4329 5307 42032 48177
2025-02-26T10:17:26:050Z 2638 3066 3768 4189 50601 50601 5061 5664 6854 9407 50601 50601
2025-02-26T10:17:27:050Z 3550 4397 5174 5964 50601 50601 4382 5345 5615 8074 50073 50601
2025-02-26T10:17:28:050Z 2037 2438 2695 3031 41928 50601 2925 3579 3942 5218 43179 50601
2025-02-26T10:17:29:050Z 2789 3677 4091 5019 50601 50601 4510 5332 6108 8466 50601 50601
2025-02-26T10:17:30:050Z 2127 2570 3204 3380 50601 50601 3256 3388 4400 5454 45012 49186
2025-02-26T10:17:31:050Z 1884 2347 2949 2945 38664 43527 4209 3706 5073 5946 48027 49572
2025-02-26T10:17:32:050Z 1181 1556 1793 1837 23434 29079 1625 1926 2142 3031 22320 27330
2025-02-26T10:17:33:050Z 1161 1572 1768 1781 21170 26877 1317 1618 1769 2492 17878 23596
2025-02-26T10:17:34:050Z 1023 1491 1710 1645 16087 19847 1836 2165 2411 3293 26464 33895
2025-02-26T10:17:35:050Z 1588 2227 2593 2494 28240 34145 3164 3104 3932 5102 40035 45275
2025-02-26T10:17:36:050Z 3511 4382 5016 5811 50601 50601 6297 7041 8155 12088 50601 50601
2025-02-26T10:17:37:050Z 2503 2998 3981 3911 50601 50601 4965 3687 5656 5956 50601 50601
2025-02-26T10:17:38:050Z 1766 2223 2610 2741 39598 46613 2269 2699 2983 4291 32378 38895
2025-02-26T10:17:39:050Z 1456 1742 2016 2213 31888 38803 2431 2850 3191 4508 39580 46621
2025-02-26T10:17:40:050Z 1635 1815 2355 2379 38675 43577 2374 2609 3108 4093 35699 41885
2025-02-26T10:17:41:050Z 2351 2712 3586 3551 50601 50601 3092 3004 3947 4806 43700 47503
2025-02-26T10:17:42:050Z 2339 2455 3827 3076 45409 47556 2831 2708 3479 4308 34788 41118
2025-02-26T10:17:43:050Z 2337 2878 3516 3780 47263 49922 4964 5691 6455 9065 50601 50601
2025-02-26T10:17:44:050Z 2075 2419 2882 3179 44362 50434 4448 5081 5665 8176 50289 50601
2025-02-26T10:17:45:050Z 3684 3248 7011 4172 50601 50601 3813 3804 4881 6023 50149 50601
2025-02-26T10:17:46:050Z 1994 2358 3420 2984 46850 48538 4131 3873 5020 6063 45127 48869
2025-02-26T10:17:47:050Z 2470 2849 4030 3771 50601 50601 7020 4621 8396 7344 50601 50601
2025-02-26T10:17:48:050Z 2698 3250 4579 4260 50601 50601 3517 3553 4338 5629 50222 50451
2025-02-26T10:17:49:050Z 3655 3359 6574 4451 50601 50601 6343 4945 7015 7914 50601 50601
2025-02-26T10:17:50:050Z 2508 2293 4003 2981 46117 48714 5126 4681 5966 7420 50601 50601
2025-02-26T10:17:51:050Z 2563 2856 4169 3712 50601 50601 4135 3945 4877 6251 49170 50232
2025-02-26T10:17:52:050Z 5574 3524 9852 4541 50601 50601 5677 3811 5706 6066 50360 50601
2025-02-26T10:17:53:050Z 2495 2337 4010 2992 44835 47590 6004 4359 6326 6979 50601 50601
2025-02-26T10:17:54:050Z 2256 2488 3919 3110 50601 50601 5962 4178 6160 6765 50601 50601
2025-02-26T10:17:55:050Z 2079 2501 3258 3150 50601 50601 5777 5345 6699 8675 50601 50601
2025-02-26T10:17:56:050Z 3139 3604 5293 4690 50601 50601 6231 4805 6601 7817 50601 50601
2025-02-26T10:17:57:050Z 3341 3561 5732 4642 50601 50601 7710 4261 7013 6699 50601 50601
2025-02-26T10:17:58:050Z 2237 2680 3768 3447 50601 50601 6827 5204 6824 8035 50601 50601
2025-02-26T10:17:59:050Z 1904 2398 3041 3083 50601 50601 4850 3907 5476 6264 50601 50601
2025-02-26T10:18:00:050Z 1982 2470 3299 3237 50601 50601 4829 4273 5462 6861 50601 50601
2025-02-26T10:18:01:050Z 1798 2224 2799 2892 49397 50368 2618 2854 3259 4497 43516 46670
2025-02-26T10:18:02:050Z 1708 2080 2640 2680 47879 49491 1982 2322 2559 3624 30989 36823
2025-02-26T10:18:03:050Z 964 1303 1484 1496 17576 21040 1286 1498 1677 2345 14874 18118
2025-02-26T10:18:04:050Z 954 1532 1757 1651 9065 12610 1475 1708 2002 2820 9620 13446
2025-02-26T10:18:05:050Z 1918 3433 4074 3231 15833 19108 2306 2605 2996 4757 15871 18734
2025-02-26T10:18:06:050Z 1467 2523 2938 2539 12067 15480 1851 2059 2481 3596 11272 14575
2025-02-26T10:18:07:050Z 1798 3168 3773 3084 13694 16724 2071 2321 2684 4201 13851 16597
2025-02-26T10:18:08:050Z 2151 3855 4655 3751 15030 17793 2557 2832 3266 5349 16122 18484
2025-02-26T10:18:09:050Z 1719 2999 3578 2959 11850 15314 2321 2582 3011 4731 12918 16337
